DATE,TICKER,SECTOR,PRICEOPEN,PRICEHIGH,PRICELOW,PRICECLOSE,VOLUME,PRICEMID,SMA_5,DAILY_RETURN,new_date,price_close_new_date,MONTHLY_RETURN
2021-01-04,AAPL,Information Technology,133.52,133.6116,126.76,129.41,143301900,130.1858,,,2021-01-04,129.41,0.0
2021-01-05,AAPL,Information Technology,128.89,131.74,128.43,131.01,97664900,130.085,,1.2363804960976665,2021-01-04,129.41,1.2363804960976696
2021-01-06,AAPL,Information Technology,127.72,131.0499,126.382,126.6,155088000,128.71595000000002,,-3.3661552553240215,2021-01-04,129.41,-2.171393246271542
2021-01-07,AAPL,Information Technology,128.36,131.63,127.86,130.92,109578200,129.745,,3.4123222748815074,2021-01-04,129.41,1.1668340931921728
2021-01-08,AAPL,Information Technology,132.43,132.63,130.23,132.05,105158200,131.43,129.998,0.8631225175679935,2021-01-04,129.41,2.0400278185611733
2021-01-11,AAPL,Information Technology,129.19,130.17,128.5,128.98,100620900,129.33499999999998,129.91199999999998,-2.3248769405528336,2021-01-04,129.41,-0.3322772583262552
2021-01-12,AAPL,Information Technology,128.5,129.69,126.86,128.8,91951150,128.275,129.47,-0.13955652039073785,2021-01-04,129.41,-0.4713700641372268
2021-01-13,AAPL,Information Technology,128.76,131.45,128.49,130.89,88636830,129.97,130.328,1.6226708074533969,2021-01-04,129.41,1.1436519588903407
2021-01-14,AAPL,Information Technology,130.8,131.0,128.76,128.91,90221760,129.88,129.926,-1.5127206050882358,2021-01-04,129.41,-0.3863689050305231
2021-01-15,AAPL,Information Technology,128.78,130.2242,127.0,127.14,111598500,128.6121,128.944,-1.3730509657900791,2021-01-04,129.41,-1.7541148288385722
2021-01-19,AAPL,Information Technology,127.78,128.71,126.938,127.83,90757330,127.82400000000001,128.714,0.5427088249174039,2021-01-04,129.41,-1.220925739896452
2021-01-20,AAPL,Information Technology,128.66,132.49,128.55,132.03,104319500,130.52,129.35999999999999,3.2856137057028834,2021-01-04,129.41,2.024573062359945
2021-01-21,AAPL,Information Technology,133.8,139.67,133.59,136.87,120529500,136.63,130.55599999999998,3.6658335226842365,2021-01-04,129.41,5.764624063055412
2021-01-22,AAPL,Information Technology,136.28,139.85,135.02,139.07,114459400,137.435,132.58800000000002,1.6073646525900376,2021-01-04,129.41,7.464647245189705
2021-01-25,AAPL,Information Technology,143.07,145.09,136.54,142.92,157611700,140.815,135.744,2.7683900194146682,2021-01-04,129.41,10.43968781392473
2021-01-26,AAPL,Information Technology,143.6,144.3,141.37,143.16,98390560,142.835,138.81,0.16792611251050804,2021-01-04,129.41,10.625144888339387
2021-01-27,AAPL,Information Technology,143.43,144.3,140.41,142.06,140843800,142.35500000000002,140.816,-0.7683710533668564,2021-01-04,129.41,9.77513329727224
2021-01-28,AAPL,Information Technology,139.52,141.99,136.7,137.09,142621100,139.345,140.85999999999999,-3.498521751372663,2021-01-04,129.41,5.93462638126884
2021-01-29,AAPL,Information Technology,135.83,136.74,130.21,131.96,177523800,133.47500000000002,139.438,-3.7420672550878997,2021-01-04,129.41,1.970481415655677
2021-02-01,AAPL,Information Technology,133.75,135.38,130.93,134.14,106239800,133.155,137.682,1.6520157623522103,2021-01-04,129.41,3.655049841588741
2021-02-02,AAPL,Information Technology,135.73,136.31,134.61,134.99,83305370,135.46,136.048,0.633666318771442,2021-01-04,129.41,4.311876980140648
2021-02-03,AAPL,Information Technology,135.76,135.77,133.61,133.94,89880940,134.69,134.424,-0.7778353952144657,2021-01-04,129.41,3.500502279576541
2021-02-04,AAPL,Information Technology,136.3,137.4,134.59,137.39,84183060,135.995,134.48399999999998,2.5757802000895946,2021-01-05,131.01,4.869857262804363
2021-02-05,AAPL,Information Technology,137.35,137.42,135.86,136.76,75693830,136.64,135.44400000000002,-0.4585486571075048,2021-01-06,126.6,8.025276461295416
2021-02-08,AAPL,Information Technology,136.03,136.96,134.92,136.91,71297210,135.94,135.998,0.10968119333139015,2021-01-11,128.98,6.1482400372150785
2021-02-09,AAPL,Information Technology,136.62,137.877,135.85,136.01,76774210,136.8635,136.202,-0.6573661529471919,2021-01-11,128.98,5.450457435261282
2021-02-10,AAPL,Information Technology,136.48,136.99,134.4,135.39,73046560,135.695,136.492,-0.4558488346445122,2021-01-11,128.98,4.969762753915333
2021-02-11,AAPL,Information Technology,135.9,136.39,133.77,135.13,64280030,135.07999999999998,136.04,-0.192037816677737,2021-01-12,128.8,4.914596273291913
2021-02-12,AAPL,Information Technology,134.35,135.53,133.6921,135.37,60145130,134.61105,135.762,0.17760674905646923,2021-01-13,130.89,3.422721369088562
2021-02-16,AAPL,Information Technology,135.49,136.01,132.79,133.19,80576320,134.39999999999998,135.01799999999997,-1.6104011228484927,2021-01-19,127.83,4.193068919658922
2021-02-17,AAPL,Information Technology,131.25,132.22,129.47,130.84,98085250,130.845,133.98399999999998,-1.7643967264809657,2021-01-19,127.83,2.354689822420406
2021-02-18,AAPL,Information Technology,129.2,129.995,127.41,129.71,96856750,128.7025,132.848,-0.863650259859372,2021-01-19,127.83,1.4707032777908235
2021-02-19,AAPL,Information Technology,130.24,130.71,128.8,129.87,87668830,129.755,131.796,0.12335209313083517,2021-01-20,132.03,-1.6359918200408972
2021-02-22,AAPL,Information Technology,128.01,129.72,125.6,126.0,103916400,127.66,129.922,-2.979902979902982,2021-01-25,142.92,-11.838790931989916
2021-02-23,AAPL,Information Technology,123.76,126.71,118.39,125.86,158273000,122.55,128.45600000000002,-0.11111111111110628,2021-01-25,142.92,-11.936747830954372
2021-02-24,AAPL,Information Technology,124.94,125.56,122.23,125.35,111039900,123.89500000000001,127.35800000000002,-0.40521214047354315,2021-01-25,142.92,-12.29359082003918
2021-02-25,AAPL,Information Technology,124.68,126.4585,120.54,120.99,148199500,123.49925,125.61399999999999,-3.4782608695652195,2021-01-26,143.16,-15.486169321039398
2021-02-26,AAPL,Information Technology,122.59,124.85,121.2,121.26,164560400,123.025,123.89200000000001,0.2231589387552857,2021-01-27,142.06,-14.641700689849358
2021-03-01,AAPL,Information Technology,123.75,127.93,122.79,127.79,116307900,125.36000000000001,124.25,5.385122876463799,2021-02-01,134.14,-4.733860146115984
2021-03-02,AAPL,Information Technology,128.41,128.72,125.01,125.12,102260900,126.86500000000001,124.102,-2.0893653650520427,2021-02-01,134.14,-6.724317876845075
2021-03-03,AAPL,Information Technology,124.81,125.71,121.84,122.06,112966300,123.775,123.444,-2.445652173913049,2021-02-01,134.14,-9.005516624422235
2021-03-04,AAPL,Information Technology,121.75,123.6,118.62,120.13,178155000,121.11,123.272,-1.5811895788956254,2021-02-02,134.99,-11.008222831320849
2021-03-05,AAPL,Information Technology,120.98,121.935,117.57,121.42,153766600,119.7525,123.304,1.0738366769333263,2021-02-03,133.94,-9.3474690159773
2021-03-08,AAPL,Information Technology,120.93,121.0,116.21,116.36,154376600,118.60499999999999,121.018,-4.167352989622797,2021-02-08,136.91,-15.009860492294205
2021-03-09,AAPL,Information Technology,119.03,122.06,118.79,121.085,129525800,120.42500000000001,120.21099999999998,4.060673771055345,2021-02-08,136.91,-11.558688189321455
2021-03-10,AAPL,Information Technology,121.69,122.17,119.45,119.98,111943300,120.81,119.795,-0.9125820704463772,2021-02-08,136.91,-12.365787743773277
2021-03-11,AAPL,Information Technology,122.54,123.21,121.26,121.96,103026500,122.235,120.16099999999999,1.6502750458409654,2021-02-09,136.01,-10.330122785089332
